,alpha_1,alpha_2,alpha_3,from_vae
10q,1.0000914335250854,1.9953105449676514,1.0045981407165527,True
1337,1.000069260597229,1.9982432126998901,1.0016875267028809,True
143,1.0002065896987915,1.9978811740875244,1.001912236213684,True
1432,1.000022530555725,1.9995942115783691,1.0003832578659058,True
14aa41,1.0000255107879639,1.9995113611221313,1.0004630088806152,True
182,1.9906690120697021,1.0047378540039062,1.0045931339263916,True
187,1.9862631559371948,1.0079420804977417,1.0057947635650635,True
2-faced,1.66495943069458,1.1582565307617188,1.1767840385437012,True
2-faces,1.66495943069458,1.1582565307617188,1.1767840385437012,True
2g2b4g,1.000028133392334,1.9989594221115112,1.0010123252868652,True
2g2bt,1.147010326385498,1.7842106819152832,1.0687789916992188,True
2qt,1.000017762184143,1.9985780715942383,1.0014041662216187,True
3:(,1.9958317279815674,1.0006823539733887,1.003485918045044,True
3:),1.0020676851272583,1.968942403793335,1.0289897918701172,True
3:-(,1.9961953163146973,1.000701665878296,1.0031030178070068,True
3:-),1.975904107093811,1.0074940919876099,1.016601800918579,True
4col,1.9939191341400146,1.0009092092514038,1.005171537399292,True
4q,1.9678020477294922,1.0207422971725464,1.0114555358886719,True
5fs,1.0000828504562378,1.9965015649795532,1.003415584564209,True
8),1.0000110864639282,1.9993460178375244,1.0006427764892578,True
8-d,1.000016450881958,1.9996811151504517,1.0003024339675903,True
8-o,1.5152676105499268,1.261934518814087,1.2227978706359863,True
86,1.9879958629608154,1.0006829500198364,1.0113211870193481,True
8d,1.0000402927398682,1.99837064743042,1.0015889406204224,True
:###..,1.9972902536392212,1.0005223751068115,1.0021873712539673,True
:$,1.755096673965454,1.1362030506134033,1.1087002754211426,True
:&,1.8365411758422852,1.051837682723999,1.1116211414337158,True
:'(,1.9953006505966187,1.0008325576782227,1.0038667917251587,True
:'),1.0000137090682983,1.9996049404144287,1.0003814697265625,True
:'-(,1.9982271194458008,1.000349998474121,1.0014227628707886,True
:'-),1.0000382661819458,1.9971683025360107,1.002793550491333,True
:(,1.9927273988723755,1.0012909173965454,1.005981683731079,True
:),1.0000702142715454,1.9968273639678955,1.0031025409698486,True
:*,1.0000476837158203,1.998647928237915,1.0013043880462646,True
:-###..,1.9976723194122314,1.0005342960357666,1.001793384552002,True
:-&,1.8946022987365723,1.0165165662765503,1.088881254196167,True
:-(,1.990455150604248,1.0007879734039307,1.0087568759918213,True
:-),1.0000215768814087,1.9971885681152344,1.0027897357940674,True
:-)),1.0001248121261597,1.9986985921859741,1.0011765956878662,True
:-*,1.0000113248825073,1.999206781387329,1.0007818937301636,True
":-,",1.0000602006912231,1.994452953338623,1.0054869651794434,True
:-.,1.9605116844177246,1.0023231506347656,1.0371652841567993,True
:-/,1.9823006391525269,1.0012091398239136,1.01649010181427,True
:-<,1.990455150604248,1.0007879734039307,1.0087568759918213,True
:-D,1.0000059604644775,1.9997799396514893,1.0002139806747437,True
:-[,1.9916465282440186,1.0008678436279297,1.0074857473373413,True
:-\,1.9607598781585693,1.0011165142059326,1.0381237268447876,True
:-c,1.9862679243087769,1.000626802444458,1.0131052732467651,True
:-d,1.0000059604644775,1.9997799396514893,1.0002139806747437,True
:-o,1.1307682991027832,1.76472806930542,1.1045035123825073,True
:-|,1.9105180501937866,1.0135418176651,1.0759401321411133,True
:-||,1.9972271919250488,1.0005937814712524,1.0021790266036987,True
:-Þ,1.000550627708435,1.9891893863677979,1.010259985923767,True
:/,1.989107370376587,1.0005302429199219,1.0103623867034912,True
:3,1.0001201629638672,1.996970534324646,1.0029093027114868,True
:<,1.9969581365585327,1.0004431009292603,1.0025988817214966,True
:>,1.0000914335250854,1.9953105449676514,1.0045981407165527,True
:?),1.0000438690185547,1.993765950202942,1.0061901807785034,True
:?c,1.9916465282440186,1.0008678436279297,1.0074857473373413,True
:@,1.9985487461090088,1.0003961324691772,1.001055121421814,True
:D,1.0000473260879517,1.9984290599822998,1.0015233755111694,True
:P,1.0000393390655518,1.9973500967025757,1.002610445022583,True
:[,1.9960784912109375,1.0005472898483276,1.0033742189407349,True
:\,1.9862679243087769,1.000626802444458,1.0131052732467651,True
:],1.0000643730163574,1.9973444938659668,1.0025912523269653,True
:^),1.0000509023666382,1.998116374015808,1.0018327236175537,True
:^*,1.0000360012054443,1.9991629123687744,1.0008010864257812,True
:^/,1.9823006391525269,1.0012091398239136,1.01649010181427,True
:^\,1.970808982849121,1.0011039972305298,1.0280870199203491,True
:^|,1.9697482585906982,1.000558614730835,1.0296932458877563,True
:c,1.997337818145752,1.0003820657730103,1.0022799968719482,True
:c),1.0000702142715454,1.9968273639678955,1.0031025409698486,True
:d,1.0000473260879517,1.9984290599822998,1.0015233755111694,True
